"area","name","lat","long","1","列 6"
"あきる野市","1-1","35.7239471","139.3064304","1",""
"あきる野市","1-2","35.7249809","139.3107813","1",""
"あきる野市","1-3","35.72315","139.313465","1",""
"あきる野市","1-4","35.722072","139.307737","1",""
"あきる野市","1-5","35.726126","139.310775","1",""
"あきる野市","1-6","35.7212014","139.3092537","1",""
"あきる野市","1-7","35.7222965","139.3053789","1",""
"あきる野市","1-8","35.724696","139.315456","1",""
"あきる野市","2-1","35.7267229","139.3156276","1",""
"あきる野市","2-2","35.727549","139.31455","1",""
"あきる野市","2-3","35.729394","139.316703","1",""
"あきる野市","2-4","35.732701","139.3112806","1",""
"あきる野市","2-5","35.726956","139.31892","1",""
"あきる野市","2-6","35.7340076","139.305363","1",""
"あきる野市","2-7","35.7287967","139.3087869","1",""
"あきる野市","3-1","35.7381898","139.3034512","1",""
"あきる野市","3-2","35.7412202","139.3053654","1",""
"あきる野市","3-3","35.74697","139.305928","1",""
"あきる野市","3-4","35.74231","139.30013","1",""
"あきる野市","3-5","35.7433124","139.2958911","1",""
"あきる野市","3-6","35.7391728","139.3003529","1",""
"あきる野市","3-7","35.7357119","139.2981692","1",""
"あきる野市","3-8","35.7339994","139.3025974","1",""
"あきる野市","4-1","35.742075","139.283807","1",""
"あきる野市","4-2","35.743987","139.289675","1",""
"あきる野市","4-3","35.7514864","139.2887773","1",""
"あきる野市","4-4","35.754196","139.288397","1",""
"あきる野市","5-1","35.723463","139.2772089","1",""
"あきる野市","5-2","35.725289","139.2757938","1",""
"あきる野市","5-3","35.7258","139.274447","1",""
"あきる野市","5-4","35.727807","139.282927","1",""
"あきる野市","5-5","35.722394","139.272151","1",""
"あきる野市","5-6","35.7230526","139.2753345","1",""
"あきる野市","5-7","35.7206296","139.2804812","1",""
"あきる野市","6-1","35.7279496","139.2862112","1",""
"あきる野市","6-2","35.725817","139.283834","1",""
"あきる野市","6-3","35.726546","139.286972","1",""
"あきる野市","6-4","35.722834","139.28676","1",""
"あきる野市","6-5","35.720408","139.290046","1",""
"あきる野市","6-6","35.71872","139.28547","1",""
"あきる野市","7-1","35.720349","139.297924","1",""
"あきる野市","7-2","35.725228","139.294375","1",""
"あきる野市","7-3","35.7246333","139.2988513","1",""
"あきる野市","7-4","35.720792","139.296259","1",""
"あきる野市","7-5","35.7225562","139.2947544","1",""
"あきる野市","8-1","35.718749","139.312302","1",""
"あきる野市","8-2","35.72076","139.316006","1",""
"あきる野市","8-3","35.721534","139.317513","1",""
"あきる野市","8-4","35.720242","139.321922","1",""
